2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0386356551758059	=	0.0386356551758059	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:30.8740
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0303070109462908	=	0.0303070109462908	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:31.2910
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0307697134034861	=	0.0307697134034861	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:31.4570
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0768086078944165	=	0.0768086078944165	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:31.9080
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0423372748333681	=	0.0423372748333681	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:32.3080
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0349340355182436	=	0.0349340355182436	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:32.7730
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0270680937459239	=	0.0270680937459239	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:33.1560
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0268367425173262	=	0.0268367425173262	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:33.5070
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0305383621748885	=	0.0305383621748885	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:33.6560
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0268367425173262	=	0.0268367425173262	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:34.1730
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0233664740883616	=	0.0233664740883616	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:34.4370
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0455761920337351	=	0.0455761920337351	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:35.0410
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0268367425173262	=	0.0268367425173262	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:35.5720
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.0307697134034861	=	0.0307697134034861	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:35.7880
2016-09-15 17:11:33.9778	IDEAL PATH Gaze Factor	-0.023135122859764	=	0.023135122859764	*	-1	(http://iosb.fraunhofer.de/ias/ibis/elai/xapidefinitions/activity/OutOfGameWindow)	2016-09-15 15:10:36.0380
